,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000512621262872580,-0.00000012621262872580
K_0,0.00000000500000000000,0.00000003273353478525,-0.00000002773353478525
K_2,0.00006114000000000000,0.00006115921243568517,-0.00000001921243568517
K_3,0.00000002000000000000,0.00000000294418499426,0.00000001705581500574
K_4,0.00000000600000000000,0.00000000614344223776,-0.00000000014344223776
K_5,0.00000000230000000000,0.00000000249911379191,-0.00000000019911379191
V_0,0.00000000000000000000,-0.00000045120083953737,0.00000045120083953737
