,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000488634164535954,0.00000011365835464046
K_0,0.00000600000000000000,0.00000597970070830698,0.00000002029929169302
K_2,0.00006114000000000000,0.00006110437826386018,0.00000003562173613982
K_3,0.00000002000000000000,0.00000002419753207466,-0.00000000419753207466
K_4,0.00000000600000000000,0.00000000663541577856,-0.00000000063541577856
K_5,0.00000000230000000000,0.00000000229716906905,0.00000000000283093095
V_0,0.00000000000000000000,-0.00002502602197766688,0.00002502602197766688
