,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,-0.00003169643508949602,0.00003669643508949602
K_0,0.00000600000000000000,-0.00000383299353810266,0.00000983299353810266
K_2,0.00006114000000000000,0.00005213740516722892,0.00000900259483277108
K_3,0.00000002000000000000,0.00000252210635911574,-0.00000250210635911574
K_4,0.00000000600000000000,0.00000012064805678389,-0.00000011464805678389
K_5,0.00000000230000000000,-0.00000001776749142432,0.00000002006749142432
V_0,0.00000000000000000000,,
