,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000876351011335723,-0.00000376351011335723
K_0,0.00000600000000000000,0.00000662184783880147,-0.00000062184783880147
K_2,0.00006114000000000000,0.00006178319626907826,-0.00000064319626907826
K_3,0.00000002000000000000,-0.00000039490161919825,0.00000041490161919825
K_4,0.00000000600000000000,0.00000000661483786805,-0.00000000061483786805
K_5,0.00000000230000000000,0.00000000687007954023,-0.00000000457007954023
V_0,0.00000000000000000000,,
