,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000500313205696518,-0.00000000313205696518
K_0,0.00000600000000000000,0.00000600234712287668,-0.00000000234712287668
K_2,0.00006114000000000000,0.00006113991179894070,0.00000000008820105930
K_3,0.00000002000000000000,0.00000001908395127353,0.00000000091604872647
K_4,0.00000000600000000000,0.00000000602759860894,-0.00000000002759860894
K_5,0.00000000230000000000,0.00000000231253512981,-0.00000000001253512981
V_0,0.00000000000000000000,-0.00000066764332442485,0.00000066764332442485
