,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000510788135845574,-0.00000010788135845575
K_0,1.00000000000000000000,1.00000007525994560886,-0.00000007525994560886
K_2,0.00006114000000000000,0.00006114541951712023,-0.00000000541951712023
K_3,0.00000002000000000000,0.00000001893050413148,0.00000000106949586852
K_4,0.00000000600000000000,0.00000000566095149878,0.00000000033904850122
K_5,0.00000000230000000000,0.00000000226823356848,0.00000000003176643152
V_0,0.00000000000000000000,175.00675330298031440179,-175.00675330298031440179
