,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000720434156176875,-0.00000220434156176875
K_0,0.00000600000000000000,0.00000647394521991850,-0.00000047394521991850
K_2,0.00006114000000000000,0.00006121356741992931,-0.00000007356741992930
K_3,0.00000002000000000000,-0.00000032355225182666,0.00000034355225182666
K_4,0.00000000600000000000,0.00000001629068467461,-0.00000001029068467461
K_5,0.00000000230000000000,0.00000000665916949745,-0.00000000435916949745
V_0,0.00000000000000000000,,
