,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000500313205630404,-0.00000000313205630404
K_0,0.00000600000000000000,0.00000600234712240917,-0.00000000234712240917
K_2,0.00006114000000000000,0.00006113991179891778,0.00000000008820108222
K_3,0.00000002000000000000,0.00000001908395128739,0.00000000091604871261
K_4,0.00000000600000000000,0.00000000602759860937,-0.00000000002759860937
K_5,0.00000000230000000000,0.00000000231253512975,-0.00000000001253512975
V_0,0.00000000000000000000,-0.00000066764354315938,0.00000066764354315938
