,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000531039455036734,-0.00000031039455036734
K_0,0.00000000500000000000,0.00000005491581911346,-0.00000004991581911346
K_2,0.00006114000000000000,0.00006131927284722284,-0.00000017927284722284
K_3,0.00000002000000000000,-0.00000000027869104722,0.00000002027869104722
K_4,0.00000000600000000000,0.00000000283849115828,0.00000000316150884172
K_5,0.00000000230000000000,0.00000000237148500345,-0.00000000007148500345
V_0,0.00000000000000000000,0.00007317269072960655,-0.00007317269072960655
