,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000500469168406665,-0.00000000469168406665
K_0,0.00000000500000000000,0.00000000579581323855,-0.00000000079581323855
K_2,0.00006114000000000000,0.00006113930461682569,0.00000000069538317431
K_3,0.00000002000000000000,0.00000001851429405203,0.00000000148570594797
K_4,0.00000000600000000000,0.00000000606677916432,-0.00000000006677916432
K_5,0.00000000230000000000,0.00000000232106382799,-0.00000000002106382799
V_0,0.00000000000000000000,-0.00000143041263590119,0.00000143041263590119
