,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000510680494675221,-0.00000010680494675221
K_0,1.00000000000000000000,1.00000007492162423794,-0.00000007492162423794
K_2,0.00006114000000000000,0.00006114502394567340,-0.00000000502394567340
K_3,0.00000002000000000000,0.00000001893482237293,0.00000000106517762707
K_4,0.00000000600000000000,0.00000000566944583041,0.00000000033055416959
K_5,0.00000000230000000000,0.00000000226872815470,0.00000000003127184530
V_0,0.00000000000000000000,-0.22936625320724460253,0.22936625320724460253
