,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00001786693912879877,-0.00001286693912879877
K_0,0.00000000500000000000,0.00000191592462858912,-0.00000191092462858912
K_2,0.00006114000000000000,0.00006552823060806937,-0.00000438823060806937
K_3,0.00000002000000000000,-0.00000204100378898212,0.00000206100378898212
K_4,0.00000000600000000000,-0.00000002030510717714,0.00000002630510717714
K_5,0.00000000230000000000,0.00000002489582961312,-0.00000002259582961312
V_0,0.00000000000000000000,-0.00000295323971717847,0.00000295323971717847
