,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000488634164639249,0.00000011365835360751
K_0,0.00000600000000000000,0.00000597970070870835,0.00000002029929129165
K_2,0.00006114000000000000,0.00006110437826394082,0.00000003562173605918
K_3,0.00000002000000000000,0.00000002419753205229,-0.00000000419753205229
K_4,0.00000000600000000000,0.00000000663541577684,-0.00000000063541577684
K_5,0.00000000230000000000,0.00000000229716906915,0.00000000000283093085
V_0,0.00000000000000000000,,
