,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000815627278021952,-0.00000315627278021952
K_0,0.00000000500000000000,0.00000072838699904355,-0.00000072338699904355
K_2,0.00006114000000000000,0.00006147165725931049,-0.00000033165725931049
K_3,0.00000002000000000000,-0.00000039028019937816,0.00000041028019937816
K_4,0.00000000600000000000,0.00000001301966907189,-0.00000000701966907189
K_5,0.00000000230000000000,0.00000000722023881735,-0.00000000492023881735
V_0,0.00000000000000000000,0.00008448145990040314,-0.00008448145990040314
