,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000498956034867343,0.00000001043965132657
K_0,0.00000600000000000000,0.00000600118418514731,-0.00000000118418514731
K_2,0.00006114000000000000,0.00006113668800377631,0.00000000331199622369
K_3,0.00000002000000000000,0.00000002018560880689,-0.00000000018560880689
K_4,0.00000000600000000000,0.00000000605602484384,-0.00000000005602484384
K_5,0.00000000230000000000,0.00000000230299405138,-0.00000000000299405138
V_0,0.00000000000000000000,,
