,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,-0.00001271553608078286,0.00001771553608078286
K_0,0.00000600000000000000,-0.00000005028014474975,0.00000605028014474975
K_2,0.00006114000000000000,0.00005891802320326872,0.00000222197679673128
K_3,0.00000002000000000000,0.00000201624121500338,-0.00000199624121500338
K_4,0.00000000600000000000,-0.00000001033419759384,0.00000001633419759384
K_5,0.00000000230000000000,-0.00000002048758001273,0.00000002278758001273
V_0,0.00000000000000000000,,
