,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000432359782448744,0.00000067640217551256
K_0,0.00000600000000000000,0.00000590175088249588,0.00000009824911750412
K_2,0.00006114000000000000,0.00006095559451655482,0.00000018440548344518
K_3,0.00000002000000000000,0.00000006375311552789,-0.00000004375311552789
K_4,0.00000000600000000000,0.00000000865901491277,-0.00000000265901491277
K_5,0.00000000230000000000,0.00000000200421205313,0.00000000029578794687
V_0,0.00000000000000000000,-0.00008750659393273935,0.00008750659393273935
