,Accel Model,Estimated Coefficients,Coefficient Estimate Error
K_1,0.00000500000000000000,0.00000513019097524935,-0.00000013019097524935
K_0,0.00000000500000000000,0.00000002136361457760,-0.00000001636361457760
K_2,0.00006114000000000000,0.00006117223765840365,-0.00000003223765840365
K_3,0.00000002000000000000,-0.00000000833276318153,0.00000002833276318153
K_4,0.00000000600000000000,0.00000000627734920847,-0.00000000027734920847
K_5,0.00000000230000000000,0.00000000264742361129,-0.00000000034742361129
V_0,0.00000000000000000000,-0.00001153889891647781,0.00001153889891647781
